date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,execution,agent_drawdown,spy_drawdown
2024-09-12,983.4567594949035,-0.01654324050509648,1113.9872579465123,0.11398725794651221,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04546433554767404,-0.010214847299729879
2024-09-13,984.1223704047668,-0.0158776295952332,1119.8053258767002,0.11980532587670023,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.044818298651817634,-0.005045454908907621
2024-09-16,990.6376500081274,-0.009362349991872687,1121.4591354915206,0.12145913549152065,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.03849461773220053,-0.0035760339703237998
2024-09-17,988.1129879539291,-0.0118870120460709,1121.9173717315855,0.12191737173158557,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04094503555500284,-0.0031688879966064176
2024-09-18,985.9879016116031,-0.014012098388396899,1118.589929649734,0.11858992964973392,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04300762822540405,-0.00612534261095965
2024-09-19,990.8227069935239,-0.009177293006476184,1137.6779985903165,0.13767799859031649,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.03831500282711031,0.0
2024-09-20,987.5622828061398,-0.01243771719386022,1132.2385106535794,0.1322385106535795,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04147954579054414,-0.004781219240837187
2024-09-23,985.0736671487024,-0.01492633285129763,1135.067827565764,0.13506782756576396,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04389497725431135,-0.00229429682896809
2024-09-24,983.2927401003851,-0.016707259899614857,1138.3156134010014,0.1383156134010015,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.04562353152677345,0.0
2024-09-25,976.6422590868602,-0.0233577409131398,1135.805043087864,0.13580504308786412,98.87259920129941,5.026626406560504,35,5,"{'JNJ': 0.216614, 'ABBV': 0.191131, 'JPM': 0.181279, 'UNH': 0.166061, 'BAC': 0.144915}",rebalance_at_open_mark_at_close,-0.0520784379086594,-0.0022055133774686597
